batch_id,inspection_date,inspector_id,product_type,pass_fail,defect_type,defect_rate_pct,rework_flag,sample_size,defects_found,measurement_tool,hold_released,customer_specific,remarks
BATCH-2023-0318,2023-03-08,QC-07,Clutch Plate,PASS,,6.6806,Y,86.0,0.0,,N,OEM-FORD,Re-inspect after rework
BATCH-2022-0401,2022-11-25,QC-09,Brake Pad Type A,PASS,,6.7407,N,53.0,,Hardness tester,N,OEM-MAHINDRA,Borderline – monitor next batch
BATCH-2023-0160,2024-11-16,QC-04,Brake Shoe,PASS,,8.6095,Y,30.0,0.0,Hardness tester,N,OEM-BAJAJ,Customer concession raised
BATCH-2024-0103,12/08/2024,QC-07,Brake Pad Type B,PASS,,6.1157,Y,172.0,0.0,Go/No-Go gauge,Y,OEM-HONDA,OK
BATCH-2022-0403,09/12/2023,QC-09,Drum Brake Assy,FAIL,Noise under braking,7.4677,Y,167.0,6.0,Torque wrench,N,OEM-MAHINDRA,Re-inspect after rework
BATCH-2023-0080,2024-12-20,QC-02,Brake Pad Type A,PASS,,11.3312,N,76.0,0.0,Height gauge,N,OEM-FORD,Escalated to QA Manager
BATCH-2022-0390,2024-05-30,QC-09,Brake Shoe,PASS,,2.0488,Y,135.0,0.0,CMM,Y,OEM-MARUTI,Re-inspect after rework
BATCH-2024-0159,06-May-2023,QC-06,Brake Pad Type B,PASS,,3.6974,Y,63.0,,CMM,N,OEM-HYUNDAI,Waived by OEM
BATCH-2023-0260,16-May-2022,QC-08,Disc Brake Caliper,PASS,,3.3851,N,46.0,0.0,Vernier,,OEM-FORD,Customer concession raised
BATCH-2023-0307,2023-07-13,QC-08,Drum Brake Assy,PASS,,8.9403,Y,133.0,0.0,Torque wrench,N,OEM-BAJAJ,Re-inspect after rework
BATCH-2021-0422,2021-11-10,QC-06,Brake Shoe,FAIL,Adhesive bond failure,4.1581,Y,38.0,6.0,,N,,Escalated to QA Manager
BATCH-2024-0070,2022-07-24,QC-07,Wheel Hub Assy,PASS,,2.9384,Y,73.0,0.0,Vernier,Y,OEM-TVS,Customer concession raised
BATCH-2021-0073,2023-06-06,QC-02,CV Joint,PASS,,0.9323,N,41.0,0.0,Hardness tester,N,,Escalated to QA Manager
BATCH-2023-0130,2022-12-23,QC-03,Disc Brake Caliper,PASS,,0.7014,N,194.0,,Hardness tester,Y,OEM-MARUTI,Customer concession raised
BATCH-2021-0384,2024-04-30,QC-08,Drum Brake Assy,PASS,,5.1001,N,64.0,0.0,,Y,,Customer concession raised
BATCH-2024-0397,22/08/2023,QC-01,CV Joint,PASS,,4.782,Y,36.0,0.0,Visual,Y,OEM-RENAULT,Escalated to QA Manager
BATCH-2021-0375,06/29/2023,QC-05,Drum Brake Assy,PASS,,11.2125,N,47.0,0.0,CMM,N,OEM-FORD,Escalated to QA Manager
BATCH-2022-0334,2023-09-13,QC-03,Brake Pad Type A,FAIL,Warpage > 0.3 mm,2.7341,,60.0,5.0,Height gauge,N,OEM-RENAULT,Customer concession raised
BATCH-2021-0051,26/11/2021,QC-06,Clutch Plate,PASS,,11.3343,Y,103.0,0.0,CMM,N,OEM-FORD,Customer concession raised
BATCH-2022-0221,30-10-2022,QC-03,Clutch Plate,PASS,,7.3308,Y,46.0,0.0,Torque wrench,N,OEM-MAHINDRA,OK
BATCH-2021-0254,2024-05-12,QC-05,Clutch Plate,PASS,,5.2723,Y,79.0,0.0,Torque wrench,N,OEM-HONDA,OK
BATCH-2021-0069,2022-07-08,QC-06,Clutch Plate,FAIL,Edge chipping,1.3453,N,147.0,1.0,CMM,N,OEM-BAJAJ,
BATCH-2024-0120,2022-05-11,QC-03,CV Joint,REWORK,Adhesive bond failure,9.4815,Y,44.0,14.0,Torque wrench,Y,OEM-SUZUKI,Escalated to QA Manager
BATCH-2022-0395,2022-03-08,QC-04,Drum Brake Assy,PASS,,3.3325,Y,51.0,0.0,Go/No-Go gauge,Y,OEM-HYUNDAI,Escalated to QA Manager
BATCH-2024-0482,2022-12-11,QC-08,Brake Pad Type A,PASS,,9.0839,N,,0.0,,N,OEM-MAHINDRA,Waived by OEM
BATCH-2021-0368,08/24/2024,QC-01,Disc Brake Caliper,PASS,,2.9144,Y,120.0,0.0,Go/No-Go gauge,N,OEM-TATA,
BATCH-2024-0420,2023-04-27,QC-09,Brake Disc,PASS,,7.9216,Y,107.0,,CMM,N,OEM-TATA,Re-inspect after rework
BATCH-2024-0286,2022-07-01,QC-04,Drum Brake Assy,PASS,,4.1627,N,119.0,0.0,CMM,N,OEM-TATA,Borderline – monitor next batch
BATCH-2021-0379,02/27/2022,QC-04,CV Joint,PASS,,2.6217,Y,21.0,0.0,,Y,,Waived by OEM
BATCH-2023-0040,2024-08-19,QC-07,ABS Sensor Ring,REWORK,Porosity – casting defect,6.0199,Y,,5.0,Visual,N,OEM-MARUTI,Borderline – monitor next batch
BATCH-2022-0314,2021-11-29,QC-07,CV Joint,PASS,,4.1089,Y,193.0,0.0,Torque wrench,Y,OEM-HONDA,Re-inspect after rework
BATCH-2021-0480,21/12/2022,QC-02,Wheel Hub Assy,FAIL,Noise under braking,10.8857,N,195.0,5.0,Hardness tester,N,OEM-TVS,OK
BATCH-2022-0155,2024-10-08,QC-06,Brake Pad Type A,REWORK,Adhesive bond failure,2.7327,N,138.0,13.0,,N,OEM-BAJAJ,Re-inspect after rework
BATCH-2021-0126,01-11-2022,QC-09,Wheel Hub Assy,PASS,,10.1836,Y,169.0,0.0,Torque wrench,,,
BATCH-2024-0043,2023-10-09,QC-03,Disc Brake Caliper,PASS,,3.4724,N,83.0,0.0,,Y,OEM-RENAULT,Escalated to QA Manager
BATCH-2021-0094,2022-11-30,QC-05,Drum Brake Assy,FAIL,Surface delamination,0.6058,N,40.0,18.0,,Y,OEM-FORD,OK
BATCH-2022-0403,2021-12-31,QC-01,Brake Pad Type B,PASS,,1.3174,N,95.0,,Visual,Y,OEM-MAHINDRA,Customer concession raised
BATCH-2023-0452,02/05/2024,QC-01,Drum Brake Assy,PASS,,8.7705,N,130.0,0.0,Torque wrench,Y,OEM-RENAULT,Borderline – monitor next batch
BATCH-2022-0307,2024-11-22,QC-03,ABS Sensor Ring,PASS,,4.7388,Y,86.0,0.0,Vernier,N,OEM-TATA,Re-inspect after rework
BATCH-2024-0406,2022-07-09,QC-04,Brake Shoe,PASS,,8.7925,Y,106.0,0.0,Go/No-Go gauge,,OEM-FORD,Customer concession raised
BATCH-2021-0106,22-Nov-2023,QC-08,Drum Brake Assy,PASS,,9.8684,N,26.0,0.0,Torque wrench,N,OEM-TATA,Borderline – monitor next batch
BATCH-2022-0272,2024-07-07,QC-05,Brake Shoe,PASS,,8.5197,,135.0,0.0,Go/No-Go gauge,Y,OEM-TVS,Customer concession raised
BATCH-2021-0366,24-Aug-2022,QC-01,Brake Pad Type B,PASS,,11.5072,Y,174.0,0.0,Torque wrench,Y,,Customer concession raised
BATCH-2022-0137,2024-05-10,QC-08,Disc Brake Caliper,PASS,,2.1402,Y,133.0,,Hardness tester,Y,,
BATCH-2021-0377,2022-12-25,QC-03,CV Joint,PASS,,7.0113,N,101.0,0.0,Vernier,N,,Customer concession raised
BATCH-2021-0450,24-Oct-2024,QC-09,Disc Brake Caliper,PASS,,10.1978,N,131.0,0.0,Height gauge,Y,,Customer concession raised
BATCH-2022-0350,2021-07-31,QC-07,Brake Pad Type B,PASS,,11.3464,Y,127.0,0.0,Vernier,N,,
BATCH-2021-0130,2021-03-11,QC-02,Brake Disc,REWORK,Friction material cracking,9.3959,N,115.0,19.0,Torque wrench,,OEM-SUZUKI,Customer concession raised
BATCH-2021-0084,2023-10-09,QC-08,Drum Brake Assy,PASS,,6.9231,,53.0,,Go/No-Go gauge,N,OEM-RENAULT,Waived by OEM
BATCH-2023-0123,2022-11-20,QC-04,ABS Sensor Ring,PASS,,4.351,,138.0,0.0,Visual,N,OEM-BAJAJ,Waived by OEM
BATCH-2022-0416,2023-03-31,QC-05,CV Joint,PASS,,9.4753,Y,149.0,0.0,Visual,N,OEM-RENAULT,OK
BATCH-2022-0282,2021-08-10,QC-04,Wheel Hub Assy,PASS,,1.493,Y,197.0,0.0,CMM,Y,OEM-SUZUKI,Escalated to QA Manager
BATCH-2022-0108,2024-12-15,QC-08,CV Joint,PASS,,0.7538,N,125.0,0.0,Vernier,N,OEM-FORD,Customer concession raised
BATCH-2021-0391,2023-06-22,QC-02,Wheel Hub Assy,REWORK,Noise under braking,11.5184,N,,18.0,CMM,Y,OEM-FORD,Escalated to QA Manager
BATCH-2024-0318,2022-01-25,QC-09,CV Joint,PASS,,8.7817,Y,117.0,0.0,Torque wrench,,OEM-HYUNDAI,Waived by OEM
BATCH-2022-0214,19-May-2023,QC-06,Brake Pad Type A,PASS,,11.5011,N,104.0,0.0,CMM,N,,OK
BATCH-2023-0062,15/01/2024,QC-02,Disc Brake Caliper,FAIL,Surface delamination,0.2053,N,62.0,9.0,,Y,OEM-RENAULT,Re-inspect after rework
BATCH-2022-0453,2024-03-13,QC-03,ABS Sensor Ring,PASS,,3.8733,Y,75.0,0.0,Hardness tester,N,OEM-HONDA,Waived by OEM
BATCH-2024-0021,2024-04-22,QC-05,ABS Sensor Ring,PASS,,6.5604,N,64.0,0.0,Hardness tester,Y,,
BATCH-2022-0423,2021-10-06,QC-02,Clutch Plate,REWORK,Adhesive bond failure,1.529,Y,183.0,10.0,Torque wrench,N,,Borderline – monitor next batch
BATCH-2022-0190,09/03/2024,QC-03,Wheel Hub Assy,PASS,,3.0955,N,180.0,0.0,Visual,,OEM-FORD,Customer concession raised
BATCH-2022-0291,2021-08-14,QC-07,ABS Sensor Ring,REWORK,Noise under braking,6.5176,,143.0,17.0,Height gauge,Y,OEM-HONDA,OK
BATCH-2021-0445,04-01-2021,QC-03,CV Joint,PASS,,3.9527,N,93.0,0.0,Go/No-Go gauge,,OEM-TVS,Re-inspect after rework
BATCH-2022-0307,2022-03-10,QC-06,Disc Brake Caliper,PASS,,3.0988,N,24.0,0.0,Height gauge,N,OEM-SUZUKI,Waived by OEM
BATCH-2024-0026,2021-10-07,QC-04,Clutch Plate,PASS,,5.0482,Y,66.0,0.0,Height gauge,Y,,Borderline – monitor next batch
BATCH-2024-0371,07/03/2024,QC-07,Brake Pad Type A,PASS,,5.2063,N,85.0,0.0,Hardness tester,Y,OEM-BAJAJ,Escalated to QA Manager
BATCH-2022-0498,2024-07-21,QC-03,Wheel Hub Assy,PASS,,10.5671,Y,112.0,0.0,,N,OEM-FORD,OK
BATCH-2022-0338,05/10/2022,QC-05,ABS Sensor Ring,REWORK,Adhesive bond failure,6.0947,Y,38.0,18.0,Visual,,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2021-0333,2022-09-13,QC-04,Clutch Plate,PASS,,10.1112,Y,,0.0,Go/No-Go gauge,Y,OEM-RENAULT,
BATCH-2021-0258,07/29/2024,QC-04,Brake Pad Type B,FAIL,Vibration at speed,2.9688,,148.0,8.0,CMM,N,OEM-SUZUKI,Borderline – monitor next batch
BATCH-2022-0035,2023-03-01,QC-04,Brake Shoe,REWORK,Ovality – rotor,6.6783,Y,183.0,16.0,Visual,Y,OEM-RENAULT,OK
BATCH-2024-0153,2024-03-27,QC-08,CV Joint,PASS,,10.4877,N,50.0,0.0,Vernier,Y,,OK
BATCH-2022-0323,2024-09-21,QC-06,Drum Brake Assy,PASS,,10.7139,Y,155.0,0.0,Torque wrench,Y,OEM-TATA,Waived by OEM
BATCH-2022-0004,2021-10-29,QC-03,Disc Brake Caliper,PASS,,2.4387,N,159.0,0.0,Go/No-Go gauge,N,OEM-MARUTI,Waived by OEM
BATCH-2023-0136,2022-07-06,QC-09,Clutch Plate,PASS,,3.3013,N,158.0,0.0,Height gauge,N,OEM-TATA,Waived by OEM
BATCH-2023-0248,05/03/2023,QC-04,Brake Shoe,PASS,,3.2024,Y,34.0,0.0,CMM,N,OEM-MAHINDRA,Customer concession raised
BATCH-2022-0198,2021-04-23,QC-06,Brake Shoe,REWORK,Warpage > 0.3 mm,7.3844,Y,92.0,14.0,Torque wrench,N,OEM-HONDA,Waived by OEM
BATCH-2023-0009,24-08-2021,QC-05,Brake Pad Type B,FAIL,Ovality – rotor,6.9382,N,70.0,22.0,CMM,N,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2023-0399,2024-01-07,QC-05,Wheel Hub Assy,PASS,,1.4537,N,,0.0,Vernier,N,OEM-HYUNDAI,Customer concession raised
BATCH-2021-0040,21-Oct-2023,QC-04,ABS Sensor Ring,FAIL,Porosity – casting defect,6.6411,N,103.0,3.0,CMM,N,OEM-TVS,Customer concession raised
BATCH-2022-0086,2022-01-12,QC-07,Brake Disc,PASS,,11.6823,N,64.0,0.0,Torque wrench,N,OEM-MAHINDRA,Waived by OEM
BATCH-2021-0065,2021-11-29,QC-09,ABS Sensor Ring,PASS,,11.9492,,,0.0,Go/No-Go gauge,N,,Customer concession raised
BATCH-2024-0162,2023-08-06,QC-01,Wheel Hub Assy,REWORK,Improper heat treatment,7.5816,N,146.0,17.0,CMM,Y,OEM-HONDA,Escalated to QA Manager
BATCH-2022-0002,2022-08-14,QC-02,Wheel Hub Assy,PASS,,4.5954,Y,93.0,0.0,Go/No-Go gauge,N,OEM-SUZUKI,Escalated to QA Manager
BATCH-2021-0229,2021-12-27,QC-09,ABS Sensor Ring,REWORK,Adhesive bond failure,1.774,Y,176.0,0.0,Hardness tester,N,OEM-RENAULT,OK
BATCH-2022-0075,2021-05-29,QC-08,Brake Pad Type A,PASS,,9.757,Y,72.0,0.0,Visual,N,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2024-0062,06/11/2023,QC-09,Brake Shoe,PASS,,2.2073,,117.0,0.0,Vernier,N,OEM-BAJAJ,Borderline – monitor next batch
BATCH-2022-0276,2022-03-09,QC-08,Drum Brake Assy,PASS,,4.7847,Y,195.0,0.0,Torque wrench,N,OEM-MAHINDRA,Waived by OEM
BATCH-2023-0317,29-05-2024,QC-02,Drum Brake Assy,PASS,,3.3606,Y,173.0,0.0,Vernier,Y,OEM-MARUTI,Borderline – monitor next batch
BATCH-2022-0250,2022-02-02,QC-01,ABS Sensor Ring,PASS,,7.5428,,107.0,,Visual,N,OEM-TVS,Borderline – monitor next batch
BATCH-2023-0004,2022-02-08,QC-09,Drum Brake Assy,PASS,,11.8289,N,84.0,,Hardness tester,Y,OEM-HYUNDAI,Borderline – monitor next batch
BATCH-2022-0195,2023-03-03,QC-04,Disc Brake Caliper,PASS,,8.4158,Y,38.0,0.0,Torque wrench,Y,OEM-HYUNDAI,Customer concession raised
BATCH-2021-0343,2022-05-20,QC-01,CV Joint,FAIL,Dimensional out-of-spec,4.0731,,32.0,23.0,Height gauge,Y,OEM-TVS,Borderline – monitor next batch
BATCH-2023-0348,2024-05-05,QC-01,Wheel Hub Assy,PASS,,7.792,Y,132.0,0.0,,N,OEM-SUZUKI,Re-inspect after rework
BATCH-2024-0194,2023-04-16,QC-05,Clutch Plate,PASS,,4.1901,N,165.0,0.0,Hardness tester,Y,OEM-RENAULT,Customer concession raised
BATCH-2022-0467,25/10/2021,QC-04,Clutch Plate,PASS,,11.1733,N,162.0,0.0,Torque wrench,Y,OEM-RENAULT,Escalated to QA Manager
BATCH-2024-0306,2021-05-31,QC-02,Drum Brake Assy,PASS,,9.8105,N,87.0,,Torque wrench,N,,OK
