dispatch_date,order_id,customer_id,product_type,quantity,batch_ref,vehicle_number
2024-03-05,D-1137,OEM-MAHINDRA,Brake Pad Type A,276,BATCH-2023-0073,MH10-5023
2024-03-10,D-1135,OEM-BAJAJ,Brake Pad Type A,524,BATCH-2024-0078,MH13-5373
2024-10-11,D-1295,OEM-SUZUKI,CV Joint,1010,BATCH-SPIKE-0011,MH13-1737
2023-03-12,D-1046,OEM-TVS,Rotor Disc,299,BATCH-2024-0211,MH14-4639
2023-08-01,D-1068,OEM-SUZUKI,Rotor Disc,293,BATCH-2023-0267,MH10-3738
2024-04-15,D-1205,OEM-HERO,Brake Shoe,337,BATCH-2023-0205,MH14-7931
2024-07-10,D-1251,OEM-HERO,Brake Pad Type B,270,BATCH-2023-0280,MH13-7773
2023-07-27,D-1187,OEM-MAHINDRA,Brake Pad Type A,317,BATCH-2024-0069,MH10-8704
2023-10-20,D-1288,OEM-SUZUKI,Rotor Disc,866,BATCH-SPIKE-0003,MH14-7711
2023-11-18,D-1129,OEM-HERO,Rotor Disc,476,BATCH-2023-0118,MH11-7788
2023-09-22,D-1061,OEM-TATA,Brake Pad Type A,591,BATCH-2024-0105,MH13-2093
2024-01-01,D-1004,OEM-MAHINDRA,Clutch Plate,509,BATCH-2023-0062,MH14-3784
2023-01-28,D-1219,OEM-MAHINDRA,Rotor Disc,444,BATCH-2024-0172,MH13-8974
2023-07-27,D-1187,OEM-MAHINDRA,Brake Pad Type A,317,BATCH-2024-0069,MH10-8704
2023-08-20,D-1275,OEM-TVS,Rotor Disc,449,BATCH-2023-0227,MH12-7937
2023-08-24,D-1006,OEM-TVS,Brake Shoe,436,BATCH-2023-0106,MH10-8014
2023-06-12,D-1150,OEM-BAJAJ,Brake Shoe,566,BATCH-2023-0138,MH12-1345
2023-08-10,D-1002,OEM-BAJAJ,Brake Pad Type B,216,BATCH-2024-0244,MH14-1977
2023-12-05,D-1121,OEM-HERO,CV Joint,399,BATCH-2024-0120,MH14-2601
2023-12-15,D-1159,OEM-HERO,Rotor Disc,214,BATCH-2023-0267,MH10-4010
2024-08-12,D-1245,OEM-TATA,CV Joint,253,BATCH-2023-0065,MH10-4365
2023-05-10,D-1149,OEM-BAJAJ,CV Joint,416,BATCH-2023-0176,MH11-5550
2024-08-22,D-1112,OEM-HERO,Brake Shoe,487,BATCH-2023-0298,MH11-9301
2023-02-05,D-1166,OEM-TATA,CV Joint,531,BATCH-2024-0218,MH11-2457
2024-03-05,D-1137,OEM-MAHINDRA,Brake Pad Type A,276,BATCH-2023-0073,MH10-5023
2023-04-17,D-1206,OEM-SUZUKI,Brake Shoe,388,BATCH-2023-0219,MH11-8112
2024-09-15,D-1268,OEM-MAHINDRA,Clutch Plate,353,BATCH-2024-0107,MH14-3293
2024-10-11,D-1295,OEM-SUZUKI,CV Joint,DROP TABLE raw_materials;,BATCH-SPIKE-0011,MH13-1737
2023-09-28,D-1102,OEM-HERO,Brake Shoe,318,BATCH-2024-0222,MH11-1486
2024-02-23,D-1097,OEM-HERO,Rotor Disc,502,BATCH-2024-0041,MH11-2060
2023-10-21,D-1192,OEM-TVS,Rotor Disc,499,BATCH-2024-0081,MH14-1067
2024-04-07,D-1096,OEM-TVS,Rotor Disc,546,BATCH-2024-0033,MH10-3348
2024-04-05,D-1223,OEM-SUZUKI,Rotor Disc,475,BATCH-2024-0072,MH10-5930
2024-02-29,D-1168,OEM-TVS,Brake Shoe,507,BATCH-2023-0100,MH11-2459
2024-08-01,D-1074,OEM-HONDA,Brake Pad Type A,413,BATCH-2024-0172,MH10-2909
2023-03-02,D-1212,OEM-TVS,Brake Pad Type A,461,BATCH-2024-0160,MH13-2548
2023-10-06,D-1282,OEM-TVS,Brake Pad Type B,760,BATCH-SPIKE-0012,MH12-7135
2024-07-06,D-1193,OEM-SUZUKI,CV Joint,292,BATCH-2024-0155,MH10-5033
2023-06-26,D-1240,OEM-MAHINDRA,CV Joint,216,BATCH-2024-0281,MH10-6533
2023-05-08,D-1265,OEM-HONDA,Brake Pad Type A,390,BATCH-2023-0100,MH14-6807
2023-06-26,D-1240,OEM-MAHINDRA,CV Joint,216,BATCH-2024-0281,MH10-6533
2023-12-08,D-1163,OEM-HERO,Brake Shoe,576,BATCH-2024-0054,MH12-3842
2024-09-12,D-1264,OEM-BAJAJ,Brake Pad Type B,596,BATCH-2023-0115,MH13-9278
2024-01-10,D-1084,OEM-MAHINDRA,CV Joint,599,BATCH-2023-0257,MH14-4962
2023-06-28,D-1155,OEM-HERO,Rotor Disc,362,BATCH-2023-0168,MH13-1555
2023-10-08,D-1188,OEM-MAHINDRA,Rotor Disc,439,BATCH-2023-0166,MH10-9108
2023-11-04,D-1136,OEM-HONDA,Brake Pad Type B,331,BATCH-2023-0242,MH14-4868
2024-04-23,D-1170,OEM-SUZUKI,Rotor Disc,453,BATCH-2024-0047,MH11-4328
2023-11-21,D-1054,OEM-HERO,CV Joint,371,BATCH-2024-0026,MH14-7156
2024-04-15,D-1051,OEM-SUZUKI,CV Joint,244,BATCH-2024-0083,MH13-7809
2024-06-08,D-1247,OEM-HONDA,Brake Pad Type A,278,BATCH-2024-0230,MH12-6482
2024-08-29,D-1031,OEM-BAJAJ,Rotor Disc,530,BATCH-2023-0273,MH12-8965
2024-11-02,D-1299,OEM-SUZUKI,Brake Pad Type A,778,BATCH-SPIKE-0010,MH13-3772
