batch_id,inspection_date,inspector_id,pass_fail,defect_type,defect_rate_pct,rework_flag
BATCH-2023-0000,2023-08-10,QC-01,PASS,,0.01,N
BATCH-2023-0001,2023-08-13,QC-04,PASS,,0.11,Y
BATCH-2023-0002,2023-07-12,QC-02,PASS,,0.41,N
BATCH-2023-0003,2023-01-19,QC-03,PASS,,0.01,N
BATCH-2023-0004,2024-06-02,QC-02,PASS,,0.33,Y
BATCH-2023-0005,2023-11-22,QC-07,PASS,,0.1,N
BATCH-2023-0006,2024-01-14,QC-01,PASS,,0.12,N
BATCH-2023-0007,2024-04-07,QC-08,PASS,,0.26,N
BATCH-2023-0008,2024-05-21,QC-01,PASS,,0.23,N
BATCH-2023-0009,2023-10-07,QC-03,PASS,,0.21,N
BATCH-2023-0010,2024-06-26,QC-07,PASS,,0.47,N
BATCH-2023-0011,2023-07-10,QC-08,PASS,,0.01,Y
BATCH-2023-0012,2024-05-11,QC-06,PASS,,0.29,N
BATCH-2023-0013,2023-06-06,QC-05,PASS,,0.4,Y
BATCH-2023-0014,2023-08-01,QC-07,PASS,,0.23,N
BATCH-2023-0015,2023-04-21,QC-06,PASS,,0.3,N
BATCH-2023-0016,2024-03-02,QC-02,PASS,,0.25,N
BATCH-2023-0017,2023-09-16,QC-06,FAIL,surf_delamination,2.66,N
BATCH-2023-0018,2023-07-12,QC-03,PASS,,0.21,N
BATCH-2023-0019,2024-03-31,QC-01,PASS,,0.13,Y
BATCH-2023-0020,2024-01-22,QC-07,PASS,,0.24,Y
BATCH-2023-0021,2024-03-10,QC-07,PASS,,0.15,N
BATCH-2023-0022,2023-03-02,QC-06,PASS,,0.13,N
BATCH-2023-0023,2024-01-29,QC-02,PASS,,0.24,Y
BATCH-2023-0024,2023-06-30,QC-03,PASS,,0.01,N
BATCH-2023-0025,2024-03-03,QC-01,PASS,,0.17,N
BATCH-2023-0026,2023-12-27,QC-03,PASS,,0.26,N
BATCH-2023-0027,2024-01-06,QC-01,PASS,,0.29,N
BATCH-2023-0028,2023-10-05,QC-05,PASS,,0.22,N
BATCH-2023-0029,2023-04-22,QC-08,PASS,,0.03,N
BATCH-2023-0030,2024-03-27,QC-07,PASS,,0.37,N
BATCH-2023-0031,2024-03-20,QC-01,PASS,,0.11,Y
BATCH-2023-0032,2024-05-02,QC-04,PASS,,0.29,Y
BATCH-2023-0033,2023-02-05,QC-08,PASS,,0.18,N
BATCH-2023-0034,2023-09-14,QC-04,PASS,,0.22,N
