dispatch_date,order_id,customer_id,product_type,quantity,batch_ref,vehicle_number
2023-07-10,D-1000,OEM-BAJAJ,Brake Pad Type A,250,BATCH-2024-3470,MH12-2668
2023-04-01,D-1001,OEM-TATA,Brake Pad Type B,481,"BATCH-2024-2509,BATCH-2024-4572",MH12-4644
2024-05-17,D-1002,OEM-TATA,Brake Pad Type A,349,BATCH-2023-3302,MH12-7719
2023-05-10,D-1003,OEM-BAJAJ,Brake Pad Type B,402,BATCH-2023-4134,MH12-6760
2023-04-16,D-1004,OEM-BAJAJ,Brake Pad Type A,299,"BATCH-2024-3591,BATCH-2023-2273",MH12-3381
2023-10-21,D-1005,OEM-BAJAJ,Brake Pad Type A,492,BATCH-2023-1068,MH12-1911
2023-05-10,D-1006,OEM-MAHINDRA,Brake Pad Type A,648,BATCH-2023-0758,MH12-2692
2023-02-23,D-1007,OEM-MAHINDRA,Brake Pad Type A,368,BATCH-2023-2610,MH12-3499
2023-11-05,D-1008,OEM-MAHINDRA,Brake Pad Type A,211,BATCH-2023-3398,MH12-6087
2024-04-11,D-1009,OEM-BAJAJ,Brake Pad Type A,935,BATCH-2023-0165,MH12-4056
2024-04-19,D-1010,OEM-TATA,Brake Pad Type B,394,BATCH-2024-0456,MH12-5404
2024-01-06,D-1011,OEM-TATA,Brake Pad Type A,634,BATCH-2023-0075,MH12-2424
2023-04-28,D-1012,OEM-BAJAJ,Brake Pad Type B,517,BATCH-2024-0326,MH12-8276
2024-01-29,D-1013,OEM-TATA,Clutch Assembly,626,BATCH-2024-0772,MH12-2181
2023-04-22,D-1014,OEM-TATA,Brake Pad Type B,232,"BATCH-2024-5177,BATCH-2024-3721",MH12-4933
2024-04-14,D-1015,OEM-MAHINDRA,Clutch Assembly,997,"BATCH-2024-0288,BATCH-2024-0774",MH12-9732
2023-12-21,D-1016,OEM-TATA,Brake Pad Type A,725,BATCH-2024-3560,MH12-2645
2023-04-11,D-1017,OEM-TATA,Brake Pad Type A,332,BATCH-2024-2596,MH12-1385
2024-05-07,D-1018,OEM-BAJAJ,Brake Pad Type A,536,BATCH-2023-3326,MH12-8071
2023-11-01,D-1019,OEM-BAJAJ,Brake Pad Type B,653,BATCH-2023-0908,MH12-7624
2024-07-20,D-1020,OEM-BAJAJ,Clutch Assembly,435,BATCH-2024-1857,MH12-5770
2024-04-06,D-1021,OEM-TATA,Clutch Assembly,765,BATCH-2023-0230,MH12-5853
2023-12-16,D-1022,OEM-MAHINDRA,Brake Pad Type A,775,BATCH-2023-1320,MH12-5393
2023-09-14,D-1023,OEM-TATA,Clutch Assembly,238,"BATCH-2024-2231,BATCH-2023-0988",MH12-4927
2024-02-17,D-1024,OEM-TATA,Clutch Assembly,403,BATCH-2024-3690,MH12-1305
2023-02-10,D-1025,OEM-TATA,Clutch Assembly,888,BATCH-2024-3651,MH12-3590
2023-12-29,D-1026,OEM-TATA,Brake Pad Type A,445,BATCH-2024-2104,MH12-2490
2023-04-29,D-1027,OEM-TATA,Brake Pad Type B,342,BATCH-2024-3958,MH12-2976
