date,shift,machine_id,operator_id,batch_id,input_lot_ref,units_produced,cycle_time_min
2023-05-26,A,MC-04,OP-019,,LOT-2024-088,590,11.6
2023-05-31,B,MC-05,OP-013,BATCH-2023-0001,LOT-2024-024,376,12.1
2023-03-16,B,MC-01,OP-005,BATCH-2023-0002,LOT-2023-144,592,9.9
2024-06-25,A,MC-03,OP-013,BATCH-2023-0003,LOT-2024-193,477,9.5
2023-11-15,A,MC-02,OP-016,BATCH-2023-0004,LOT-2024-161,585,10.2
2023-01-07,B,MC-01,OP-002,BATCH-2023-0005,LOT-2024-154,259,16.3
2024-02-01,A,MC-05,OP-011,,LOT-2023-020,213,8.5
2023-03-09,A,MC-03,OP-020,BATCH-2023-0007,LOT-2023-157,237,16.6
2023-11-26,C,MC-05,OP-007,BATCH-2023-0008,LOT-2024-105,498,17.5
2024-02-26,A,MC-03,OP-009,BATCH-2023-0009,LOT-2023-013,208,17.0
2024-03-27,C,MC-04,OP-005,BATCH-2023-0010,LOT-2024-101,571,12.0
2024-02-26,A,MC-05,OP-003,BATCH-2023-0011,LOT-2023-153,581,16.7
2024-04-30,C,MC-01,OP-009,BATCH-2023-0012,LOT-2023-042,211,12.0
2024-06-20,A,MC-02,OP-015,BATCH-2023-0013,LOT-2024-018,318,8.9
2023-05-16,A,MC-03,OP-013,BATCH-2023-0014,LOT-2024-184,255,12.7
2023-03-23,A,MC-01,OP-003,BATCH-2023-0015,LOT-2023-053,508,9.6
2024-01-24,C,MC-03,OP-005,BATCH-2023-0016,LOT-2023-193,439,13.0
2023-12-20,A,MC-05,OP-010,BATCH-2023-0017,LOT-2023-049,357,10.6
2023-02-20,A,MC-04,OP-010,BATCH-2023-0018,LOT-2023-149,461,8.4
2023-04-07,A,MC-04,OP-007,BATCH-2023-0019,LOT-2024-073,549,10.5
2023-04-15,A,MC-04,OP-016,,LOT-2024-137,541,13.1
2023-07-11,B,MC-05,OP-018,BATCH-2023-0021,LOT-2023-042,293,9.0
2023-07-18,B,MC-04,OP-020,BATCH-2023-0022,LOT-2024-044,424,10.3
2024-03-12,A,MC-05,OP-011,BATCH-2023-0023,LOT-2023-030,409,8.3
2023-08-23,C,MC-05,OP-018,,LOT-2024-190,568,14.4
2024-02-17,A,MC-04,OP-016,BATCH-2023-0025,LOT-2023-117,320,17.0
2024-06-14,B,MC-05,OP-005,BATCH-2023-0026,LOT-2023-094,243,14.6
2023-06-25,C,MC-02,OP-003,BATCH-2023-0027,LOT-2023-162,401,14.8
2024-01-10,A,MC-03,OP-013,BATCH-2023-0028,LOT-2024-139,491,9.5
2023-03-16,A,MC-03,OP-019,BATCH-2023-0029,LOT-2023-019,403,17.7
2023-02-10,C,MC-05,OP-010,BATCH-2023-0030,LOT-2024-061,479,16.7
2023-06-12,C,MC-02,OP-018,BATCH-2023-0031,LOT-2023-085,421,17.8
2023-09-14,C,MC-03,OP-020,BATCH-2023-0032,LOT-2024-166,462,13.5
2023-03-09,C,MC-05,OP-017,BATCH-2023-0033,LOT-2023-073,434,17.6
2023-02-06,A,MC-02,OP-018,BATCH-2023-0034,LOT-2024-024,405,12.5
2024-05-04,B,MC-03,OP-013,BATCH-2023-0035,LOT-2023-007,599,8.8
2023-03-07,B,MC-04,OP-018,BATCH-2023-0036,LOT-2024-127,276,16.6
